Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2023 Chevrolet Trailblazer ACTIV,"$31,885","2,306 mi.",Vivid Orange Metallic,Jet Black,All-wheel Drive,Gasoline,9-Speed Automatic,1.3L I3 12V GDI DOHC Turbo,KL79MSSL1PB099194,2023-04-30 11:24:41.516663,Cars.com
2023 Chevrolet Silverado 1500 RST,"$55,315",65 mi.,Dark Ash Metallic,Black,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,2GCUDEED5P1129171,2023-04-30 11:24:44.780067,Cars.com
2023 Toyota Corolla LE,"$23,532",–,White,Black,FWD,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC,5YFB4MDE2PP10A535,2023-04-30 11:24:47.313089,Cars.com
2023 Toyota RAV4 Hybrid SE,"$36,193",–,Magnetic Gray Metallic,Black,AWD,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,2T3T6RFV3PW15G093,2023-04-30 11:24:50.410201,Cars.com
2023 Jeep Grand Cherokee Laredo,"$38,220",536 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,3.6L V6 24V MPFI DOHC,1C4RJHAG4PC536134,2023-04-30 11:24:53.495767,Cars.com
2023 Buick Enclave Essence,"$48,260",6 mi.,Moonstone Gray Metallic,Dark Galvanized,All-wheel Drive,Gasoline,–,3.6L V6 24V GDI DOHC,5GAEVAKW6PJ230095,2023-04-30 11:24:55.838855,Cars.com
2023 Nissan ARIYA ENGAGE,"$44,785",0 mi.,Black Diamond Pearl,Light Gray,Front-wheel Drive,Electric,CVT,10-Cylinder Electric ZEV 214hp,JN1AF0BA6PM407982,2023-04-30 11:25:06.769026,Cars.com
2023 Kia K5 GT,"$33,105",11 mi.,Ebony Black,Black,FWD,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,5XXG44J86PG220167,2023-04-30 11:25:10.963550,Cars.com
2023 Mercedes-Benz S-Class S 500 4MATIC,"$123,520",2 mi.,Diamond White,Macchiato,All-wheel Drive,Gasoline,Automatic,3.0L I6 24V GDI DOHC Turbo,W1K6G6DB2PA203924,2023-04-30 11:25:12.929134,Cars.com
2023 Kia K5 GT-Line,"$31,980",3 mi.,Ebony Black,Black,Front-wheel Drive,Gasoline,Automatic,"Gamma-II 1.6L I-4 gasoline direct injection, DOHC, CVVD variable",5XXG64J29PG206852,2023-04-30 11:25:16.258595,Cars.com
2016 Hyundai Equus Signature,"$27,500","25,722 mi.",Black,Beige,Rear-wheel Drive,Gasoline,A/T,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,KMHGH4JH8GU104401,2023-04-30 11:25:18.349504,Cars.com
2023 BMW M850 i xDrive,"$117,215",56 mi.,Mineral White Metallic,Tartufo,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBAFY4C00PCM47777,2023-04-30 11:25:21.127671,Cars.com
2017 BMW X5 xDrive35i,"$29,995","77,114 mi.",Black Sapphire,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,5UXKR0C54H0U51853,2023-04-30 11:25:23.612342,Cars.com
2021 Genesis G80 3.5T,"$55,995","18,507 mi.",Uyuni White,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,KMTGC4SD6MU086802,2023-04-30 11:25:26.101138,Cars.com
2017 Mercedes-Benz AMG G 63 Base,"$105,000","37,190 mi.",designo Magno Platinum,designo Mystic Red,All-wheel Drive,Gasoline,7-Speed Automatic,5.5L V8 32V GDI DOHC Twin Turbo,WDCYC7DF5HX276530,2023-04-30 11:25:28.362692,Cars.com
2023 Hyundai Tucson Hybrid Blue,"$32,890",49 mi.,Deep Sea,Black,All-wheel Drive,Hybrid,Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,KM8JBCA19PU093137,2023-04-30 11:25:31.063387,Cars.com
2020 Jaguar E-PACE Base,"$33,988","44,317 mi.",Corris Grey,Ebony / Ebony,All-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SADFK2FX1L1Z88204,2023-04-30 11:25:33.850434,Cars.com
